date,open,high,low,close,volume,oi
2010-07-02T00:00:00+05:30,361.76,367.28,359.82,366.19,2943550,0
2010-07-05T00:00:00+05:30,368.66,368.7,362.89,363.83,2165596,0
2010-07-06T00:00:00+05:30,362.6,375.1,362.28,373.75,2760904,0
2010-07-07T00:00:00+05:30,374.86,377.81,368.73,376.43,2152934,0
2010-07-08T00:00:00+05:30,380.08,383.52,378.92,382.44,2187564,0
2010-07-09T00:00:00+05:30,384.02,385.98,379.46,381.28,1836666,0
2010-07-12T00:00:00+05:30,383.92,390.91,383.92,389.78,2725776,0
2010-07-13T00:00:00+05:30,389.92,389.92,378.87,381.38,5545886,0
2010-07-14T00:00:00+05:30,383.03,386.33,379.22,381.38,2833842,0
2010-07-15T00:00:00+05:30,379.58,386.43,376.75,385.05,3795536,0
2010-07-16T00:00:00+05:30,391.4,412.82,391.4,410.43,19135452,0
2010-07-19T00:00:00+05:30,409.35,410.95,405.31,407.01,3027924,0
2010-07-20T00:00:00+05:30,407.01,410.87,406.17,407.28,2342062,0
2010-07-21T00:00:00+05:30,409.62,415.92,408.43,415.03,2943720,0
2010-07-22T00:00:00+05:30,415.03,416.51,409.86,415.38,1362882,0
2010-07-23T00:00:00+05:30,418.48,418.48,411.14,413.21,1894472,0
2010-07-26T00:00:00+05:30,414.74,419.27,413.75,418.11,2766490,0
2010-07-27T00:00:00+05:30,420.94,423.3,416.61,418.06,2106602,0
2010-07-28T00:00:00+05:30,418.97,422.39,417,420.67,4359228,0
2010-07-29T00:00:00+05:30,420.94,420.94,417.99,418.48,5331904,0
2010-07-30T00:00:00+05:30,417.99,418.48,411.09,413.46,1283426,0
2010-08-02T00:00:00+05:30,415.03,417.72,412.08,412.72,2827762,0
2010-08-03T00:00:00+05:30,414.05,415.77,407.92,409.64,1281552,0
2010-08-04T00:00:00+05:30,411.59,429.31,411.51,427.73,5583934,0
2010-08-05T00:00:00+05:30,429.31,434.43,426.18,432.19,2912950,0
2010-08-06T00:00:00+05:30,433.25,434.97,423.72,425.72,2437734,0
2010-08-09T00:00:00+05:30,423.97,435.07,416.56,433.17,4259986,0
2010-08-10T00:00:00+05:30,435.71,435.71,424.09,425.62,1545194,0
2010-08-11T00:00:00+05:30,424.39,429.8,420.84,422.49,4020248,0
2010-08-12T00:00:00+05:30,421.88,421.88,416.61,420.18,2278092,0
2010-08-13T00:00:00+05:30,421.92,424.83,412.57,420.64,2589906,0
2010-08-16T00:00:00+05:30,421.92,424.66,417.89,420.5,1319098,0
2010-08-17T00:00:00+05:30,418.53,423.89,415.52,418.58,1733196,0
2010-08-18T00:00:00+05:30,419.96,431.18,418.48,428.87,2888916,0
2010-08-19T00:00:00+05:30,430.29,433.69,427,429.33,2148534,0
2010-08-20T00:00:00+05:30,427.83,433.2,424.88,427.81,1746396,0
2010-08-23T00:00:00+05:30,423.4,431.01,421.95,428.52,1049830,0
2010-08-24T00:00:00+05:30,428.32,434.18,425.86,428.67,2650474,0
2010-08-25T00:00:00+05:30,429.31,433.99,426.5,428.92,2379968,0
2010-08-26T00:00:00+05:30,430.29,432.76,423.52,431.52,4204428,0
2010-08-27T00:00:00+05:30,429.36,429.8,418.97,421.46,1276514,0
2010-08-30T00:00:00+05:30,424.78,424.78,413.6,416.34,1558570,0
2010-08-31T00:00:00+05:30,413.56,417.35,408.73,415.4,2447874,0
2010-09-01T00:00:00+05:30,414.54,423.89,413.56,422.61,2745484,0
2010-09-02T00:00:00+05:30,427.09,427.09,414.29,415.57,2758800,0
2010-09-03T00:00:00+05:30,418.48,419.22,411.14,412.23,2777970,0
2010-09-06T00:00:00+05:30,412.57,422.17,412.57,421.11,2287978,0
2010-09-07T00:00:00+05:30,422.42,430.74,421.43,428.99,2484236,0
2010-09-08T00:00:00+05:30,425.37,434.68,422.86,432.78,4189478,0
2010-09-09T00:00:00+05:30,434.23,434.48,428.99,430.64,2938158,0
2010-09-13T00:00:00+05:30,428.99,437.68,428.67,433.12,2349410,0
2010-09-14T00:00:00+05:30,434.73,442.6,433.4,440.81,3071038,0
2010-09-15T00:00:00+05:30,443.09,452.65,442.6,450.38,5560394,0
2010-09-16T00:00:00+05:30,447.03,449.72,425.62,440.83,2334264,0
2010-09-17T00:00:00+05:30,443.14,452.33,443.14,449.89,3007978,0
2010-09-20T00:00:00+05:30,451.46,453.88,446.39,449.13,2419108,0
2010-09-21T00:00:00+05:30,449,471.65,448.17,469.66,4997184,0
2010-09-22T00:00:00+05:30,470.66,472.63,457.86,460.45,4031066,0
2010-09-23T00:00:00+05:30,462.79,465.4,456.78,458.53,3327236,0
2010-09-24T00:00:00+05:30,459.39,461.75,455.4,458.82,2738784,0
2010-09-27T00:00:00+05:30,460.33,463.5,453.93,456.68,3423290,0
2010-09-28T00:00:00+05:30,455.53,458.01,450.04,452.77,2521714,0
2010-09-29T00:00:00+05:30,455.4,461.43,450.43,453.11,3370194,0
2010-09-30T00:00:00+05:30,455.4,457.86,450.55,456.36,7560924,0
2010-10-01T00:00:00+05:30,456.39,475.59,453.93,473.42,3326156,0
2010-10-04T00:00:00+05:30,475.96,480.02,469.19,470.57,2140956,0
2010-10-05T00:00:00+05:30,467.71,475.56,465.82,467.83,2211664,0
2010-10-06T00:00:00+05:30,467.71,476.52,467.71,472.46,1838960,0
2010-10-07T00:00:00+05:30,472.63,475.59,462,467.12,1972940,0
2010-10-08T00:00:00+05:30,464.78,470.02,427.83,464.07,2695996,0
2010-10-11T00:00:00+05:30,464.07,469.66,457.4,463.23,3065370,0
2010-10-12T00:00:00+05:30,464.09,470.57,462.34,468.06,2608902,0
2010-10-13T00:00:00+05:30,470.64,491.19,467.27,488.81,5350604,0
2010-10-14T00:00:00+05:30,490.8,494.3,483.64,485.46,2949086,0
2010-10-15T00:00:00+05:30,491.83,497.74,465.25,467.86,5717798,0
2010-10-18T00:00:00+05:30,477.56,484.45,457.86,483.1,4480734,0
2010-10-19T00:00:00+05:30,483.47,486.12,474.65,476.45,2200912,0
2010-10-20T00:00:00+05:30,474.85,482.73,470.76,474.23,2206638,0
2010-10-21T00:00:00+05:30,479.55,489.3,477.56,485.53,3752354,0
2010-10-22T00:00:00+05:30,503.16,516.65,503.16,512.12,9610404,0
2010-10-25T00:00:00+05:30,513.5,528.24,510.64,525.29,5156316,0
2010-10-26T00:00:00+05:30,523.59,525.68,512.78,523.15,3507024,0
2010-10-27T00:00:00+05:30,521.87,525.21,513.77,516.06,2141382,0
2010-10-28T00:00:00+05:30,516.94,525.58,512.02,518.37,5255690,0
2010-10-29T00:00:00+05:30,521.87,521.87,507.59,518.37,2212398,0
2010-11-01T00:00:00+05:30,517.95,525.02,516.5,518.62,1147948,0
2010-11-02T00:00:00+05:30,519.4,521.87,513.84,516.67,1565778,0
2010-11-03T00:00:00+05:30,517.39,531.22,516.16,518.32,2217878,0
2010-11-04T00:00:00+05:30,522.85,531.02,522.6,526.37,1717440,0
2010-11-05T00:00:00+05:30,533.14,533.63,529.42,530.61,358966,0
2010-11-08T00:00:00+05:30,531.71,532.89,522.9,525.88,2248586,0
2010-11-09T00:00:00+05:30,528.71,540.92,526.05,537.18,3504086,0
2010-11-10T00:00:00+05:30,537.74,545.5,534.72,537.77,1540224,0
2010-11-11T00:00:00+05:30,536.64,536.64,521,524.21,1926096,0
2010-11-12T00:00:00+05:30,521.87,526.74,516.06,519.85,1802330,0
2010-11-15T00:00:00+05:30,524.33,531.64,518.42,524.82,1389396,0
2010-11-16T00:00:00+05:30,524.82,525.02,513.1,516.4,2178076,0
2010-11-18T00:00:00+05:30,527.77,527.77,512.02,513.4,2765160,0
2010-11-19T00:00:00+05:30,514.43,516.45,495.28,499.91,2172652,0
2010-11-22T00:00:00+05:30,500.2,513.5,497.99,511.58,2221236,0
2010-11-23T00:00:00+05:30,509.07,514.48,498.43,507.12,1684448,0
2010-11-24T00:00:00+05:30,504.64,509.31,491.81,494.67,3008608,0
2010-11-25T00:00:00+05:30,497.27,512.96,495.82,503.06,5855006,0
2010-11-26T00:00:00+05:30,504.64,518.91,504.64,515.59,3617826,0
2010-11-29T00:00:00+05:30,519.4,530.97,517.07,527.43,4518892,0
2010-11-30T00:00:00+05:30,522.11,534.69,518.47,529.74,4808408,0
2010-12-01T00:00:00+05:30,523.84,538.21,523.84,532.65,3776032,0
2010-12-02T00:00:00+05:30,537.13,541.17,529.28,539.49,4095716,0
2010-12-03T00:00:00+05:30,538.14,547.96,537.2,540.25,2030112,0
2010-12-06T00:00:00+05:30,541.56,546.48,539.25,542.4,1930954,0
2010-12-07T00:00:00+05:30,541.56,541.56,532.75,535.41,2158324,0
2010-12-08T00:00:00+05:30,537.1,538.09,527.41,531.29,1984132,0
2010-12-09T00:00:00+05:30,533.53,540.23,525.85,528.07,2579902,0
2010-12-10T00:00:00+05:30,525.31,533.61,520.39,529.2,2245624,0
2010-12-13T00:00:00+05:30,527.28,532.06,516.16,529.79,2115066,0
2010-12-14T00:00:00+05:30,528.37,536.44,523.91,532.18,2615340,0
2010-12-15T00:00:00+05:30,534.22,545.69,532.45,543.36,2572034,0
2010-12-16T00:00:00+05:30,545.99,563.22,543.6,561.6,4515704,0
2010-12-20T00:00:00+05:30,558.69,579.47,548.87,574.4,4514046,0
2010-12-21T00:00:00+05:30,575.53,577.13,568.14,571.49,2810642,0
2010-12-22T00:00:00+05:30,574.55,575.53,560.14,566.05,3186836,0
2010-12-23T00:00:00+05:30,566.18,570.88,557.36,561.25,2850924,0
2010-12-24T00:00:00+05:30,558.3,565.58,554.24,561.79,1624640,0
2010-12-27T00:00:00+05:30,563.71,570.83,560.37,561.84,1664936,0
2010-12-28T00:00:00+05:30,561.84,566.62,561.28,564.38,1012876,0
2010-12-29T00:00:00+05:30,565.68,572.08,564.72,569.6,1042370,0
2010-12-30T00:00:00+05:30,567.41,578.39,567.41,576.12,3845552,0
2010-12-31T00:00:00+05:30,577.25,580.95,571.99,573.88,1532980,0
